id,type,pattern,best_match_file,confidence,distance,width,height,area,crop_url
1,verde,com listras,N/A,0,999,87,84,7308,/static/crops/stone_1.jpg
2,verde,com listras,N/A,0,999,83,79,6557,/static/crops/stone_2.jpg
3,verde,com listras,N/A,0,999,80,74,5920,/static/crops/stone_3.jpg
4,verde,com listras,N/A,0,999,81,75,6075,/static/crops/stone_4.jpg
5,verde,com listras,N/A,0,999,99,236,23364,/static/crops/stone_5.jpg
6,verde,com listras,N/A,0,999,75,77,5775,/static/crops/stone_6.jpg
7,verde,com listras,N/A,0,999,79,77,6083,/static/crops/stone_7.jpg
8,azul,com listras,N/A,0,999,83,74,6142,/static/crops/stone_8.jpg
9,verde,com listras,N/A,0,999,85,78,6630,/static/crops/stone_9.jpg
10,verde,com listras,N/A,0,999,82,76,6232,/static/crops/stone_10.jpg
11,verde,com listras,N/A,0,999,79,79,6241,/static/crops/stone_11.jpg
12,verde,com listras,N/A,0,999,83,77,6391,/static/crops/stone_12.jpg
13,verde,com listras,N/A,0,999,81,81,6561,/static/crops/stone_13.jpg
14,azul,com listras,N/A,0,999,81,80,6480,/static/crops/stone_14.jpg
15,azul,com listras,N/A,0,999,81,78,6318,/static/crops/stone_15.jpg
16,azul,com listras,N/A,0,999,84,78,6552,/static/crops/stone_16.jpg
17,azul,com listras,N/A,0,999,85,82,6970,/static/crops/stone_17.jpg
18,verde,com listras,N/A,0,999,83,77,6391,/static/crops/stone_18.jpg
19,verde,com listras,N/A,0,999,82,80,6560,/static/crops/stone_19.jpg
20,verde,com listras,N/A,0,999,83,79,6557,/static/crops/stone_20.jpg
21,verde,com listras,N/A,0,999,84,84,7056,/static/crops/stone_21.jpg
22,verde,com listras,N/A,0,999,81,81,6561,/static/crops/stone_22.jpg
23,azul,com listras,N/A,0,999,88,85,7480,/static/crops/stone_23.jpg
24,azul,com listras,N/A,0,999,89,83,7387,/static/crops/stone_24.jpg
25,azul,com listras,N/A,0,999,83,82,6806,/static/crops/stone_25.jpg
26,verde,com listras,N/A,0,999,86,83,7138,/static/crops/stone_26.jpg
27,verde,com listras,N/A,0,999,86,84,7224,/static/crops/stone_27.jpg
28,verde,com listras,N/A,0,999,86,82,7052,/static/crops/stone_28.jpg
29,verde,com listras,N/A,0,999,86,83,7138,/static/crops/stone_29.jpg
30,verde,com listras,N/A,0,999,86,84,7224,/static/crops/stone_30.jpg
31,verde,com listras,N/A,0,999,85,81,6885,/static/crops/stone_31.jpg
32,azul,com listras,N/A,0,999,258,121,31218,/static/crops/stone_32.jpg
33,verde,com listras,N/A,0,999,87,84,7308,/static/crops/stone_33.jpg
34,verde,com listras,N/A,0,999,89,83,7387,/static/crops/stone_34.jpg
35,verde,com listras,N/A,0,999,88,84,7392,/static/crops/stone_35.jpg
36,verde,com listras,N/A,0,999,85,81,6885,/static/crops/stone_36.jpg
37,verde,com listras,N/A,0,999,83,85,7055,/static/crops/stone_37.jpg
38,verde,com listras,N/A,0,999,89,87,7743,/static/crops/stone_38.jpg
39,azul,com listras,N/A,0,999,174,89,15486,/static/crops/stone_39.jpg
40,verde,com listras,N/A,0,999,89,84,7476,/static/crops/stone_40.jpg
41,verde,com listras,N/A,0,999,90,89,8010,/static/crops/stone_41.jpg
42,verde,com listras,N/A,0,999,90,83,7470,/static/crops/stone_42.jpg
43,verde,com listras,N/A,0,999,88,85,7480,/static/crops/stone_43.jpg
44,verde,com listras,N/A,0,999,85,86,7310,/static/crops/stone_44.jpg
45,verde,com listras,N/A,0,999,88,85,7480,/static/crops/stone_45.jpg
46,verde,com listras,N/A,0,999,88,87,7656,/static/crops/stone_46.jpg
47,azul,com listras,N/A,0,999,271,300,81300,/static/crops/stone_47.jpg
48,verde,com listras,N/A,0,999,91,84,7644,/static/crops/stone_48.jpg
49,verde,com listras,N/A,0,999,92,91,8372,/static/crops/stone_49.jpg
50,verde,com listras,N/A,0,999,91,89,8099,/static/crops/stone_50.jpg
51,verde,com listras,N/A,0,999,89,86,7654,/static/crops/stone_51.jpg
52,verde,com listras,N/A,0,999,88,90,7920,/static/crops/stone_52.jpg
53,verde,com listras,N/A,0,999,90,87,7830,/static/crops/stone_53.jpg
54,azul,com listras,N/A,0,999,93,93,8649,/static/crops/stone_54.jpg
55,verde,com listras,N/A,0,999,91,93,8463,/static/crops/stone_55.jpg
56,verde,com listras,N/A,0,999,89,93,8277,/static/crops/stone_56.jpg
57,verde,com listras,N/A,0,999,93,95,8835,/static/crops/stone_57.jpg
58,verde,com listras,N/A,0,999,92,96,8832,/static/crops/stone_58.jpg
59,verde,com listras,N/A,0,999,93,96,8928,/static/crops/stone_59.jpg
60,verde,com listras,N/A,0,999,91,97,8827,/static/crops/stone_60.jpg
61,azul,com listras,N/A,0,999,95,91,8645,/static/crops/stone_61.jpg
62,verde,com listras,N/A,0,999,960,66,63360,/static/crops/stone_62.jpg
